filename,slice,model,psnr,ssim,nmse,psnr_roi,nmse_roi
file1000007.h5,20,unet_roi_focus_l1_roi,22.744255851621066,[0.41024786],0.19145584,21.65603731759019,0.16120659
file1000007.h5,20,unet_attention_gates_l1_roi_agate,23.08724287890479,[0.46699301],0.17691717,22.52536358697961,0.13196239
file1000007.h5,20,unet_full_attention_l1_roi_attn_agate,21.936229688555965,[0.36005545],0.23060633,22.128930048667925,0.1445751
file1000007.h5,21,unet_baseline_l1,22.42325829235634,[0.40282671],0.20629865,20.91528966393205,0.179057
file1000007.h5,21,unet_cbam_l1_attn,23.341039549425915,[0.42081747],0.1670007,23.24492022956782,0.104719654
file1000007.h5,21,unet_roi_focus_l1_roi,22.948169691380667,[0.42106765],0.1828122,21.022201553985003,0.17470288
file1000007.h5,21,unet_attention_gates_l1_roi_agate,23.181056816644777,[0.48796138],0.17326726,21.399575675349823,0.1601632
file1000007.h5,21,unet_full_attention_l1_roi_attn_agate,22.013619244732332,[0.36585389],0.22670455,21.264108614337808,0.16523778
file1000007.h5,22,unet_baseline_l1,22.713159583316585,[0.4349582],0.19301526,20.81674693616645,0.17303103
file1000007.h5,22,unet_cbam_l1_attn,23.757373932595954,[0.43347922],0.15176451,23.816281999881213,0.086730234
file1000007.h5,22,unet_roi_focus_l1_roi,23.208519763411704,[0.44055572],0.17220892,21.02357025929445,0.16498396
file1000007.h5,22,unet_attention_gates_l1_roi_agate,23.342568364403174,[0.50502792],0.16697475,21.074850756197087,0.1630473
file1000007.h5,22,unet_full_attention_l1_roi_attn_agate,22.255540942132136,[0.37375438],0.2144636,21.555822988222957,0.14595413
file1000007.h5,23,unet_baseline_l1,22.71549435445882,[0.4506719],0.1927628,22.123599615115843,0.16521297
file1000007.h5,23,unet_cbam_l1_attn,23.66411869784791,[0.44476813],0.15493903,23.399333470678506,0.12316029
